"_id","Country_Code","City","Longitude","Latitude","radius","City_id"
"ObjectId(""616bc7199a588a2f1d67aece"")",1,"Agra",78.02,27.18,0.04954955,1
"ObjectId(""616bc7199a588a2f1d67aecf"")",1,"Ahmedabad",72.58,23.03,0.097029997,2
"ObjectId(""616bc7199a588a2f1d67aed0"")",1,"Allahabad",81.84,25.455,0.086058438,3
"ObjectId(""616bc7199a588a2f1d67aed1"")",1,"Amritsar",74.85,31.6167,0.053107325,4
"ObjectId(""616bc7199a588a2f1d67aed2"")",1,"Aurangabad",75.32,19.88,0.053107325,5
"ObjectId(""616bc7199a588a2f1d67aed3"")",1,"Bangalore",77.598,12.9699,0.122618537,6
"ObjectId(""616bc7199a588a2f1d67aed4"")",1,"Bhopal",77.4167,23.25,0.076164764,7
"ObjectId(""616bc7199a588a2f1d67aed5"")",1,"Bhubaneshwar",85.8281,20.2644,0.092534408,8
"ObjectId(""616bc7199a588a2f1d67aed6"")",1,"Chandigarh",76.7911,30.7353,0.048094947,9
"ObjectId(""616bc7199a588a2f1d67aed7"")",1,"Chennai",80.275,13.0825,0.092971925,10
"ObjectId(""616bc7199a588a2f1d67aed8"")",1,"Coimbatore",76.9667,11,0.070765178,11
"ObjectId(""616bc7199a588a2f1d67aed9"")",1,"Dehradun",78.070453,30.366322,0.063143449,12
"ObjectId(""616bc7199a588a2f1d67aeda"")",1,"Faridabad",77.3167,28.4333,0.064933647,13
"ObjectId(""616bc7199a588a2f1d67aedb"")",1,"Ghaziabad",77.4167,28.6667,0.065276472,14
"ObjectId(""616bc7199a588a2f1d67aedc"")",1,"Goa",73.827827,15.496777,0.274072356,15
"ObjectId(""616bc7199a588a2f1d67aedd"")",1,"Gurgaon",77.02,28.45,0.121871615,16
"ObjectId(""616bc7199a588a2f1d67aede"")",1,"Guwahati",91.7667,26.1667,0.066202425,17
"ObjectId(""616bc7199a588a2f1d67aedf"")",1,"Hyderabad",78.4667,17.3667,0.114842782,18
"ObjectId(""616bc7199a588a2f1d67aee0"")",1,"Indore",75.8472,22.7206,0.103701481,19
"ObjectId(""616bc7199a588a2f1d67aee1"")",1,"Jaipur",75.8667,26.9167,0.099160505,20
"ObjectId(""616bc7199a588a2f1d67aee2"")",1,"Kanpur",80.34279578,26.47498638,0.072632953,21
"ObjectId(""616bc7199a588a2f1d67aee3"")",1,"Kochi",76.2833,9.9667,0.079207584,22
"ObjectId(""616bc7199a588a2f1d67aee4"")",1,"Kolkata",88.3378,22.5411,0.064667493,23
"ObjectId(""616bc7199a588a2f1d67aee5"")",1,"Lucknow",80.947,26.847,0.113151862,24
"ObjectId(""616bc7199a588a2f1d67aee6"")",1,"Ludhiana",75.8486,30.9083,0.056799641,25
"ObjectId(""616bc7199a588a2f1d67aee7"")",1,"Mangalore",74.8806,12.8703,0.051831171,26
"ObjectId(""616bc7199a588a2f1d67aee8"")",1,"Mumbai",72.8333,18.9667,0.110649557,27
"ObjectId(""616bc7199a588a2f1d67aee9"")",1,"Mysore",76.6531,12.3086,0.056080629,28
"ObjectId(""616bc7199a588a2f1d67aeea"")",1,"Nagpur",79.0831,21.1539,0.08935511,29
"ObjectId(""616bc7199a588a2f1d67aeeb"")",1,"Nashik",73.75582778,20.01271111,0.073217253,30
"ObjectId(""616bc7199a588a2f1d67aeec"")",1,"New Delhi",77.2,28.7,0.029434791,31
"ObjectId(""616bc7199a588a2f1d67aeed"")",1,"Noida",77.391029,28.535517,0.06417931,32
"ObjectId(""616bc7199a588a2f1d67aeee"")",1,"Patna",85.1414,25.61,0.07122247,33
"ObjectId(""616bc7199a588a2f1d67aeef"")",1,"Puducherry",79.83,11.93,0.019911744,34
"ObjectId(""616bc7199a588a2f1d67aef0"")",1,"Pune",73.8553,18.5196,0.099160505,35
"ObjectId(""616bc7199a588a2f1d67aef1"")",1,"Ranchi",85.3347,23.3556,0.059606016,36
"ObjectId(""616bc7199a588a2f1d67aef2"")",1,"Surat",72.83,21.17,0.098090692,37
"ObjectId(""616bc7199a588a2f1d67aef3"")",1,"Vadodara",73.2,22.3,0.066858138,38
"ObjectId(""616bc7199a588a2f1d67aef4"")",1,"Varanasi",83.0128,25.3189,0.040790023,39
"ObjectId(""616bc7199a588a2f1d67aef5"")",1,"Vizag",83.218483,17.686815,0.117635719,40
"ObjectId(""616bc7199a588a2f1d67aef6"")",30,"Brasilia",-47.8828,-15.7939,0.343111985,41
"ObjectId(""616bc7199a588a2f1d67aef7"")",30,"Rio de Janeiro",-43.1964,-22.9083,0.159576483,42
"ObjectId(""616bc7199a588a2f1d67aef8"")",30,"Sao Paulo",-46.6339,-23.5504,0.175675676,43
"ObjectId(""616bc7199a588a2f1d67aef9"")",94,"Jakarta",106.8451,-6.2146,0.115854245,44
"ObjectId(""616bc7199a588a2f1d67aefa"")",148,"Auckland",174.7833,-36.85,0.148443757,45
"ObjectId(""616bc7199a588a2f1d67aefb"")",148,"Wellington City",174.773,-41.2867,0.0949158,46
"ObjectId(""616bc7199a588a2f1d67aefc"")",166,"Doha",51.5333,25.3,0.051752817,47
"ObjectId(""616bc7199a588a2f1d67aefd"")",184,"Singapore",103.8,1.3,0.12158825,48
"ObjectId(""616bc7199a588a2f1d67aefe"")",189,"Cape Town",18.425,-33.925,0.090123868,49
"ObjectId(""616bc7199a588a2f1d67aeff"")",189,"Pretoria",28.1881,-25.7464,0.118109105,50
"ObjectId(""616bc7199a588a2f1d67af00"")",191,"Colombo",79.8333,6.9167,0.027514375,51
"ObjectId(""616bc7199a588a2f1d67af01"")",208,"Ankara",32.85,39.93,0.705368586,52
"ObjectId(""616bc7199a588a2f1d67af02"")",214,"Abu Dhabi",54.3686,24.4781,0.140436552,53
"ObjectId(""616bc7199a588a2f1d67af03"")",214,"Dubai",55.3094,25.2697,0.28892104,54
"ObjectId(""616bc7199a588a2f1d67af04"")",214,"Sharjah",55.3919,25.3575,0.069126168,55
"ObjectId(""616bc7199a588a2f1d67af05"")",215,"Birmingham",-1.9025,52.48,0.073714396,56
"ObjectId(""616bc7199a588a2f1d67af06"")",215,"Edinburgh",-3.189,55.953,0.073189535,57
"ObjectId(""616bc7199a588a2f1d67af07"")",215,"London",-0.1275,51.5072,0.178596645,58
"ObjectId(""616bc7199a588a2f1d67af08"")",215,"Manchester",-2.2453,53.4794,0.048431279,59
"ObjectId(""616bc7199a588a2f1d67af09"")",216,"Albany",-84.2193,31.616,0.033954524,60
"ObjectId(""616bc7199a588a2f1d67af0a"")",216,"Athens",-83.3389,33.9259,0.043495884,61
"ObjectId(""616bc7199a588a2f1d67af0b"")",216,"Augusta",-82.0708,33.3645,0.126847999,62
"ObjectId(""616bc7199a588a2f1d67af0c"")",216,"Boise",-116.2312,43.6007,0.066827782,63
"ObjectId(""616bc7199a588a2f1d67af0d"")",216,"Cedar Rapids",-91.665627,41.977879,0.037063067,64
"ObjectId(""616bc7199a588a2f1d67af0e"")",216,"Columbus",-84.9436,32.5577,0.108763031,65
"ObjectId(""616bc7199a588a2f1d67af0f"")",216,"Dalton",-84.9712,34.769,0.033345505,66
"ObjectId(""616bc7199a588a2f1d67af10"")",216,"Davenport",-90.6052,41.5563,0.014131514,67
"ObjectId(""616bc7199a588a2f1d67af11"")",216,"Des Moines",-93.6105,41.5725,0.069023356,68
"ObjectId(""616bc7199a588a2f1d67af12"")",216,"Dubuque",-90.7067,42.5008,0.040817373,69
"ObjectId(""616bc7199a588a2f1d67af13"")",216,"Gainesville",-83.8461,34.0901,0.058106362,70
"ObjectId(""616bc7199a588a2f1d67af14"")",216,"Macon",-83.6974,32.8065,0.115810452,71
"ObjectId(""616bc7199a588a2f1d67af15"")",216,"Orlando",-81.3369,28.4772,0.077314935,72
"ObjectId(""616bc7199a588a2f1d67af16"")",216,"Pensacola",-87.1886,30.4427,0.046420443,73
"ObjectId(""616bc7199a588a2f1d67af17"")",216,"Pocatello",-112.4646,42.8724,0.041250048,74
"ObjectId(""616bc7199a588a2f1d67af18"")",216,"Rest of Hawaii",-155.844437,19.741755,0.757922204,75
"ObjectId(""616bc7199a588a2f1d67af19"")",216,"Savannah",-81.1784,32.0281,0.075603247,76
"ObjectId(""616bc7199a588a2f1d67af1a"")",216,"Sioux City",-96.3901,42.4959,0.05597198,77
"ObjectId(""616bc7199a588a2f1d67af1b"")",216,"Tampa Bay",-82.452606,27.964157,0.144986279,78
"ObjectId(""616bc7199a588a2f1d67af1c"")",216,"Valdosta",-83.2788,30.8502,0.043749384,79
"ObjectId(""616bc7199a588a2f1d67af1d"")",216,"Waterloo",-92.3522,42.492,0.030021771,80
"ObjectId(""616bc7199a588a2f1d67af1e"")",216,"Iowa City",-91.530167,41.661129,0.037063067,81